item_key,input_flag_bucket,input_priority,status,final_bucket,review_confidence,counterfactual_priority,route_to_code,code_task,requires_planner_contact,requires_supplier_contact,planner_note,route_used,hard_escalation_flag,delivery_observations,lead_time_stability,supplier_reliability,fill_gain_vs_sap_pct_pts,fill_gain_vs_universal_rq_pct_pts,stockout_days_reduction_vs_sap,cost_delta_vs_universal_rq,opportunity_score,recommended_next_action,or_rationale,ensemble_n_runs,ensemble_n_valid,ensemble_agreement_rate,ensemble_confidence,notes,llm_error
PLANT_B__MATERIAL_0135,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_supplier_review,Evaluate supplier reliability and lead time stability for material PLANT_B__MATERIAL_0135.,NO,YES,,negbin,YES,139,Unstable,0.16,19.9413,2.264,16.0,4159.9601,103.4738,Contact the supplier to discuss reliability issues.,"Despite a service gain of 19.94 percentage points against SAP, the supplier reliability is critically low at 0.16, and the lead time is unstable. This raises concerns about the feasibility of implementing the optimization effectively.",5,5,1.0,HIGH,The hard escalation flag indicates severe concerns that need immediate attention.,
PLANT_B__MATERIAL_0217,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Evaluate the impact of the hard flag on the optimization strategy.,YES,YES,,negbin,YES,15,Moderate,0.56,14.3208,-0.1789,20.0,25.0444,73.2902,Proceed with a detailed review of the hard flag implications.,"The service gain of 14.32 percentage points against SAP indicates a significant improvement, but the moderate lead time stability and a supplier reliability of 0.56 raise concerns about consistent implementation. The hard escalation flag suggests that there are unresolved issues that could hinder the operationalization despite the apparent benefits.",5,5,1.0,HIGH,Consider the implications of the distributional branch case in the optimization strategy.,
PLANT_A__MATERIAL_0222,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_supplier_review,Evaluate supplier reliability and lead time stability for material PLANT_A__MATERIAL_0222.,NO,YES,,negbin,YES,36,Unstable,0.47,13.3459,0.4491,14.0,4518.8323,67.3375,Contact the supplier to assess reliability and lead time issues.,"The service gain of 13.3459 percentage points against SAP indicates a significant improvement, but the supplier reliability is only 0.47, which is below acceptable thresholds. Additionally, the lead time is unstable, which poses a risk to implementation despite the apparent benefits.",5,5,1.0,HIGH,The hard escalation flag indicates that immediate attention is required to address these constraints.,
PLANT_B__MATERIAL_0210,OPTIMIZE_NOW,HIGH,ok,LLM_REVIEW,MEDIUM,none,request_planner_review,Evaluate operational constraints impacting implementation despite service gains.,YES,NO,,"(r,Q)",NO,105,Unstable,0.52,12.2948,0.0,14.0,0.0,63.6431,Engage with the planner to assess operational constraints.,"The service gain of 12.29 percentage points against SAP indicates a potential improvement, but the unstable lead time and low supplier reliability (0.52) raise concerns about consistent delivery. These factors could hinder the implementation of the proposed optimization.",5,5,0.6,MEDIUM,Consider the implications of lead time stability and supplier reliability on the overall optimization strategy.,
PLANT_A__MATERIAL_0216,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Evaluate the impact of the cost delta on the overall service gain.,YES,YES,,negbin,YES,24,Moderate,0.48,10.9756,4.7732,3.0,94.1706,62.4559,Proceed with optimizing the policy while addressing supplier reliability issues.,"The service gain of 10.9756 percentage points against SAP indicates a significant improvement, but the moderate lead time stability and low supplier reliability (0.48) raise concerns about consistent implementation. The hard escalation flag suggests that there are critical issues that need to be addressed before proceeding.",5,5,1.0,HIGH,Consider a detailed review of the supplier's capacity to meet the new demands.,
PLANT_A__MATERIAL_0154,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Evaluate the impact of the NB branch on supplier reliability and lead time stability.,YES,YES,,negbin,NO,0,Stable,0.12,6.7658,5.9211,1.0,-29.812,46.5845,Proceed with optimizing the policy while addressing supplier reliability issues.,"The service gain of 6.7658 percentage points against SAP indicates a significant improvement, but the supplier reliability is critically low at 0.12. This raises concerns about the feasibility of implementation despite the apparent benefits.",5,5,1.0,HIGH,Consider the implications of thin delivery data on operational decisions.,
PLANT_B__MATERIAL_0230,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,request_planner_review,Evaluate the impact of unstable lead times on the proposed optimization.,YES,YES,,"(r,Q)",NO,213,Unstable,0.32,5.6172,0.0,13.0,0.0,34.2368,Engage with the planner to assess lead time impacts.,"The service gain of 5.6172 percentage points against SAP indicates a potential improvement, but the unstable lead time and low supplier reliability (0.32) raise concerns about the feasibility of implementation. These factors could hinder the expected service gains despite the apparent benefits.",5,5,0.8,HIGH,Consider the implications of the unstable lead time on overall service delivery.,
PLANT_A__MATERIAL_0083,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Evaluate the impact of the cost premium on the overall service gain.,YES,YES,,negbin,YES,0,Stable,0.29,6.0537,2.1911,1.0,14.1813,33.5379,Assess the cost implications further before proceeding with optimization.,"The service gain of 6.0537 percentage points against SAP indicates a positive impact, but the cost delta of 14.1813 suggests a significant premium that could affect implementation viability. Additionally, the supplier reliability of 0.29 raises concerns about consistent delivery, which could hinder operational effectiveness despite the apparent gains.",5,5,1.0,HIGH,Consider discussing the delivery observations and lead time stability with the planner.,
PLANT_A__MATERIAL_0082,OPTIMIZE_NOW,HIGH,ok,OPTIMIZE_NOW,MEDIUM,none,optimize_policy,Evaluate the impact of supplier reliability on the proposed optimization.,YES,YES,,negbin,NO,0,Stable,0.49,4.6311,3.7466,1.0,-2.6508,31.5197,Proceed with a detailed review of supplier reliability metrics.,"The service gain of 4.6311 percentage points against SAP indicates a potential benefit, but the supplier reliability at 0.49 raises concerns about consistent delivery. Additionally, the thin delivery data suggests that the observed gains may not be stable over time.",5,5,1.0,HIGH,Consider the implications of the distributional branch case in the optimization strategy.,
PLANT_A__MATERIAL_0040,LLM_REVIEW,HIGH,ok,LLM_REVIEW,MEDIUM,none,request_planner_review,Review counterfactuals related to supplier reliability and delivery observations.,YES,YES,,"(r,Q)",NO,0,Stable,0.04,7.4074,0.0,0.0,0.0,30.6296,Engage the planner to review the supplier reliability and delivery data.,"The supplier reliability is critically low at 0.04, indicating a significant risk in material availability. Additionally, the delivery observations are at zero, suggesting insufficient data to support optimization decisions.",5,5,1.0,HIGH,Focus on understanding the implications of the low supplier reliability.,
