item_key,plant_code,material_id,flag_bucket,reviewed_bucket,route_to_code,selected_model,sap_slt_days,recommended_slt_days,sap_safety_stock_units,recommended_safety_stock,recommended_reorder_point,recommended_order_quantity,sap_fill_rate_pct,inventor_fill_rate_pct,fill_gain_vs_sap_pct_pts,sap_total_cost,inventor_total_cost,cost_delta_vs_sap,stockout_days_reduction_vs_sap,shortage_reduction_vs_sap,opportunity_score,interpretation
PLANT_B__MATERIAL_0217,PLANT_B,MATERIAL_0217,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",4.0,4.0,0.0,527.0,603.0,347.0,57.7432,100.0,42.2568,1125.1434,2195.0027,1069.8593,34.0,3610.0,1436.7312,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0216,PLANT_A,MATERIAL_0216,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",3.5,4.5,0.0,217.0,308.0,200.0,87.6134,100.0,12.3866,771.9982,1306.6616,534.6634,6.0,314.0,74.3196,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0088,PLANT_A,MATERIAL_0088,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,eoq,4.0,0.0,0.0,0.0,285.0,1341.0,100.0,97.5299,-2.4701,2509.7652,1319.4185,-1190.3467,-6.0,-497.0,12.3505,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0200,PLANT_A,MATERIAL_0200,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",4.5,7.0,0.0,3105.0,4755.0,3656.0,98.523,100.0,1.477,746.5085,1237.0648,490.5563,1.0,236.0,1.477,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0025,PLANT_A,MATERIAL_0025,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(s,S)",3.0,3.5,1152.0,3350.0,7248.0,3980.0,100.0,100.0,0.0,2741.4849,3534.5897,793.1048,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0027,PLANT_A,MATERIAL_0027,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(s,S)",2.5,3.0,0.0,889.0,2331.0,371.0,100.0,100.0,0.0,15850.3988,42659.387,26808.9882,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0029,PLANT_A,MATERIAL_0029,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",4.0,4.5,0.0,961.0,1654.0,206.0,100.0,100.0,0.0,20000.3513,41900.5026,21900.1513,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0046,PLANT_A,MATERIAL_0046,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(s,S)",3.0,2.5,0.0,456.0,1261.0,2981.0,100.0,100.0,0.0,460.3318,478.826,18.4942,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0082,PLANT_A,MATERIAL_0082,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",5.0,0.0,0.0,3092.0,4916.0,5901.0,100.0,100.0,0.0,515.6374,766.6783,251.0409,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0083,PLANT_A,MATERIAL_0083,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",2.0,0.0,0.0,1276.0,1618.0,4378.0,100.0,100.0,0.0,231.917,302.3644,70.4474,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0087,PLANT_A,MATERIAL_0087,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",4.0,0.0,80.0,254.0,416.0,496.0,100.0,100.0,0.0,567.5518,709.7993,142.2475,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0154,PLANT_A,MATERIAL_0154,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",3.0,0.0,0.0,2625.0,3839.0,7151.0,100.0,100.0,0.0,318.6067,463.4765,144.8698,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0205,PLANT_A,MATERIAL_0205,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",5.0,6.0,288.0,1526.0,2378.0,1581.0,100.0,100.0,0.0,1089.1789,1630.3412,541.1623,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_A__MATERIAL_0206,PLANT_A,MATERIAL_0206,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",5.0,6.5,96.0,1509.0,2343.0,1447.0,100.0,100.0,0.0,1122.2628,1863.5975,741.3347,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_B__MATERIAL_0057,PLANT_B,MATERIAL_0057,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,"(r,Q)",3.0,2.5,0.0,919.0,2256.0,1384.0,100.0,100.0,0.0,4282.23,5813.3388,1531.1088,0.0,0.0,0.0,Direct OR optimization candidate; service gain justifies implementation review.
PLANT_B__MATERIAL_0196,PLANT_B,MATERIAL_0196,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",4.0,1.5,0.0,108006.0,128936.0,11136.0,50.8857,98.3954,47.5097,13740.3012,63194.224,49453.9228,12.0,219366.0,570.1164,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_B__MATERIAL_0216,PLANT_B,MATERIAL_0216,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",4.0,4.5,0.0,1237.0,1498.0,393.0,28.0298,81.5064,53.4766,1734.9441,5227.6406,3492.6965,6.0,17743.0,320.8596,"High service upside, but supplier or lead-time risk should be resolved first."
PLANT_A__MATERIAL_0039,PLANT_A,MATERIAL_0039,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,"(r,Q)",4.0,0.0,0.0,44.0,53.0,28.0,68.5185,100.0,31.4815,860.745,1810.1254,949.3804,5.0,68.0,157.4075,"High service upside, but supplier or lead-time risk should be resolved first."
