item_key,plant_code,material_id,input_flag_bucket,final_bucket,route_to_code,requires_supplier_contact,requires_planner_contact,review_confidence,bucket_changed,direct_optimization_blocked_or_rerouted,fill_gain_vs_sap_pct_pts,stockout_days_reduction_vs_sap,cost_delta_vs_sap,governance_reason
PLANT_B__MATERIAL_0135,PLANT_B,MATERIAL_0135,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,YES,NO,MEDIUM,NO,YES,10.9822,7.0,22703.6628,Contact the supplier to discuss reliability issues.
PLANT_B__MATERIAL_0217,PLANT_B,MATERIAL_0217,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,YES,YES,MEDIUM,NO,YES,42.2568,34.0,1069.8593,Proceed with a detailed review of the hard flag implications.
PLANT_A__MATERIAL_0222,PLANT_A,MATERIAL_0222,OPTIMIZE_NOW,OPTIMIZE_NOW,request_supplier_review,YES,NO,MEDIUM,NO,YES,1.1483,1.0,7753.5193,Contact the supplier to assess reliability and lead time issues.
PLANT_B__MATERIAL_0210,PLANT_B,MATERIAL_0210,OPTIMIZE_NOW,LLM_REVIEW,request_planner_review,NO,YES,MEDIUM,YES,YES,10.7074,13.0,137861.0228,Engage with the planner to assess operational constraints.
PLANT_A__MATERIAL_0216,PLANT_A,MATERIAL_0216,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,YES,YES,MEDIUM,NO,YES,12.3866,6.0,534.6634,Proceed with optimizing the policy while addressing supplier reliability issues.
PLANT_A__MATERIAL_0154,PLANT_A,MATERIAL_0154,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,YES,YES,MEDIUM,NO,YES,0.0,0.0,144.8698,Proceed with optimizing the policy while addressing supplier reliability issues.
PLANT_B__MATERIAL_0230,PLANT_B,MATERIAL_0230,OPTIMIZE_NOW,OPTIMIZE_NOW,request_planner_review,YES,YES,MEDIUM,NO,YES,0.0,0.0,5708.7903,Engage with the planner to assess lead time impacts.
PLANT_A__MATERIAL_0083,PLANT_A,MATERIAL_0083,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,YES,YES,MEDIUM,NO,YES,0.0,0.0,70.4474,Assess the cost implications further before proceeding with optimization.
PLANT_A__MATERIAL_0082,PLANT_A,MATERIAL_0082,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,YES,YES,MEDIUM,NO,YES,0.0,0.0,251.0409,Proceed with a detailed review of supplier reliability metrics.
PLANT_A__MATERIAL_0040,PLANT_A,MATERIAL_0040,LLM_REVIEW,LLM_REVIEW,request_planner_review,YES,YES,MEDIUM,NO,NO,31.4815,2.0,851.0584,Engage the planner to review the supplier reliability and delivery data.
PLANT_A__MATERIAL_0087,PLANT_A,MATERIAL_0087,OPTIMIZE_NOW,OPTIMIZE_NOW,optimize_policy,YES,YES,MEDIUM,NO,YES,0.0,0.0,142.2475,Proceed with a detailed cost-benefit analysis.
